# k                                  a                                 b                                 c
  0   -0.7071068951023259385735286742    1.4143445990526699596046000806    1.3919164256321052697273898957
  1   -0.6846681690673476206043801540    1.4578450343237026043397008834    1.3463657663724537538740833043
  2   -0.6615608761842806107011938366    1.4999219086587451954528660281    1.2995004037911215277745213825
  3   -0.6378075803324878556566090992    1.5405341347040608646068449161    1.2513661011178685011913103153
  4   -0.6134314762022687883558091926    1.5796420553100771755339337687    1.2020098606843501176655308882
  5   -0.5884563666456379404934295962    1.6172074822560906781632183993    1.1514798780184507531743065556
  6   -0.5629066394332428169278159658    1.6531937335401498678777443274    1.0998254947913947976445570021
  7   -0.5368072434401199855003028460    1.6875656691985254642673908165    1.0470971506350679192109964788
  8   -0.5101836642835436697041018306    1.7202897256194269459683710011    0.9933463338775505580002800343
  9   -0.4830618994367499308140168068    1.7513339483170022869984450153    0.9386255312848073018017203140
 10   -0.4554684328428488249151939726    1.7806680231347007392628256639    0.8829881767878643428204554766
 11   -0.4274302090536998832703829976    1.8082633058461858865939575480    0.8264885993229035276996796711
 12   -0.3989746069190172605978261799    1.8340928501262552252626392146    0.7691819697652921838937345456
 13   -0.3701294128513865078211608761    1.8581314338632339833168316545    0.7111242470679651761500394969
 14   -0.3409227936933031388733184031    1.8803555837880283618801513512    0.6523721236110742172087384461
 15   -0.3113832692127309065277529498    1.9007435983953993030581841595    0.5929829698469484267064899541
 16   -0.2815396842540316968417357657    1.9192755691351242042230751395    0.5330147782729247607491629424
 17   -0.2514211805714634540009910779    1.9359333998521628394939853024    0.4725261068164981481665165575
 18   -0.2210571683727533265351183900    1.9507008244575805289144909693    0.4115760216349575451033615536
 19   -0.1904772976005275619826306865    1.9635634228118317157196770495    0.3502240394530302114439734851
 20   -0.1597114289796467412330116531    1.9745086348059210923366890711    0.2885300694400385057569735636
 21   -0.1287896048587136021978949429    1.9835257726260642208160334121    0.2265543547107166100218478277
 22   -0.0977420198742307289041519880    1.9906060311902176174214673665    0.1643574134985840984324312331
 23   -0.0665989914660494036757754088    1.9957424967460422049470025740    0.1019999800611726958887715000
 24   -0.0353909302729045263657958742    1.9989301536220844823787956557    0.0395429453744738229614696934
 25   -0.0041483104369418885917775164    2.0001658891255056360591879638   -0.0229527023273897491650874514
 26    0.0270983601537644509804625415    1.9994484965815559895929709455   -0.0854259371049318344537581993
 27    0.0583185696556472177309871086    1.9967786765118817893238656325   -0.1478157549046095753375595905
 28    0.0894818320639432923657707875    1.9921590359504721678973737653   -0.2100612331281061784249430957
 29    0.1205577169817599880730085715    1.9855940858979375107651321741   -0.2721015901222474941967277573
 30    0.1515158793348412857859841552    1.9770902369166047929383012161   -0.3338762445312902782390551693
 31    0.1823260890030179992571390812    1.9666557928706682734087962672   -0.3953248744533110481391702251
 32    0.2129582603394066520063887538    1.9543009428177013919736282332   -0.4563874763451484239951128075
 33    0.2433824815485336745535249747    1.9400377510590827156988780189   -0.5170044236106079438286542427
 34    0.2735690438946956071220029116    1.9238801453595220092296358416   -0.5771165248302352335230125391
 35    0.3034884707120358293686024354    1.9058439033467942103072800819   -0.6366650815577926669774910806
 36    0.3331115461880075900857889337    1.8859466371051327726604540658   -0.6955919456367455344647510174
 37    0.3624093438921207055436468636    1.8642077759773534317844223551   -0.7538395759846125976366693067
 38    0.3913532550221084371777635624    1.8406485475924789785295843103   -0.8113510947807922590868656698
 39    0.4199150163399387736262724502    1.8152919571371650686586463053   -0.8680703430013508858920090461
 40    0.4480667377703853593295946212    1.7881627648917226558467064024   -0.9239419352635531712536476334
 41    0.4757809296352139005747972078    1.7592874620519547423924677787   -0.9789113139038858601992387776
 42    0.5030305294963860474055650229    1.7286942448610809197617754762   -1.0329248022597106171360792359
 43    0.5297889285820700511209224715    1.6964129870765221053119375938   -1.0859296570752425825645559598
 44    0.5560299977696563367146609380    1.6624752107986764393388057215   -1.1378741200096664787366762539
 45    0.5817281131004011784924045969    1.6269140556901333649619800781   -1.1887074681752027860426323969
 46    0.6068581808007884603739512386    1.5897642466153913964888033661   -1.2383800636715196485937440229
 47    0.6313956617861722353524100981    1.5510620597325661673693275588   -1.2868434020506542836415064812
 48    0.6553165956227785526877482880    1.5108452870703663606377631368   -1.3340501596859930533156557431
 49    0.6785976239246608310295982847    1.4691531996247726432613944780   -1.3799542399789126445597275961
 50    0.7012160131627672710052934235    1.4260265090116979180834277940   -1.4245108183759080944241759425
 51    0.7231496768638470129531015118    1.3815073277126277417892197263   -1.4676763861317365655878575126
 52    0.7443771971775166029772208276    1.3356391279526047544123912303   -1.5094087928047523750052505420
 53    0.7648778457904262806366091354    1.2884666992502831206479640969   -1.5496672874059691515924441774
 54    0.7846316041671074215102521521    1.2400361046817760524163531954   -1.5884125581989598785526141000
 55    0.8036191830977317263062786878    1.1903946359008130695400495824   -1.6256067710857182717631985724
 56    0.8218220415336975337439184841    1.1395907669592109101586174802   -1.6612136065462475009724130359
 57    0.8392224046926505254262451672    1.0876741069728190769438924690   -1.6951982951116149056502990788
 58    0.8558032814152538580998452744    1.0346953516791097538174426518   -1.7275276513100255026955665016
 59    0.8715484807567702718600344269    0.9807062339335368417181371115   -1.7581701060744141518199512575
 60    0.8864426277972431433838096382    0.9257594731933921350375271686   -1.7870957375646114861922342243
 61    0.9004711786548451613043653197    0.8699087240380538599282544965   -1.8142763003958835010820394018
 62    0.9136204346877322413078559293    0.8132085237763001517308225630   -1.8396852532088914244923216756
 63    0.9258775558705346631072075070    0.7557142391914664081298269593   -1.8632977845931286697833684229
 64    0.9372305733324238774528680551    0.6974820124767889817363197835   -1.8850908373131820550128168179
 65    0.9476684010445125538879551641    0.6385687064133124257736540130   -1.9050431308182584899668654543
 66    0.9571808466451726671309074845    0.5790318488447344646985470717   -1.9231351820367632576846972370
 67    0.9657586213927037421811405693    0.5189295765020528472533101194   -1.9393493243831296801715780020
 68    0.9733933492356323657901384649    0.4583205782342722467426199273   -1.9536697250264345449011216260
 69    0.9800775749917827184276575281    0.3972640376997049194152111795   -1.9660824003369328227819323729
 70    0.9858047716281371775082220665    0.3358195755739930010719263009   -1.9765752295498912882720787820
 71    0.9905693466343729047807187271    0.2740471913317032992551958159   -1.9851379665944692831658358045
 72    0.9943666474838519508949730152    0.2120072046577272384393353377   -1.9917622501022769210266005757
 73    0.9971929661767364727609219699    0.1497601965461918260835716410   -1.9964416115734238132972677704
 74    0.9990455428607858401335306553    0.0873669501442274620828243314   -1.9991714816907313334581886011
 75    0.9999225685263070095842863338    0.0248883913980847623625969334   -1.9999491947827559013006748501
 76    0.9998231867726210531088781863   -0.0376144704398647805598798755   -1.9987739914270965524423218085
 77    0.9987474946443234413706591113   -0.1000806023857996190917774015   -1.9956470191877211384223755886
 78    0.9966965425365233999244196639   -0.1624490073219089503187007040   -1.9905713314994917251254946677
 79    0.9936723331691482696825801213   -0.2246587835591106752097800836   -1.9835518846905662027069183750
 80    0.9896778196313243958215366547   -0.2866491843067570099989893606   -1.9745955331230604645753601289
 81    0.9847169024977329154779681630   -0.3483596769904216960966891747   -1.9637110225278564534789893514
 82    0.9787944260197665169442871047   -0.4097300023612460706523563658   -1.9509089814457760692079091314
 83    0.9719161733952004222913956255   -0.4707002333380192471423697498   -1.9362019108477865891870806081
 84    0.9640888611209967873350024092   -0.5312108335248517665405643129   -1.9196041719442102913006920062
 85    0.9553201324347585510210478787   -0.5912027153475052365649844432   -1.9011319721422603734595213609
 86    0.9456185498512418297067938511   -0.6506172977515038979845485301   -1.8808033492338971370827493956
 87    0.9349935868011995943049896596   -0.7093965634054264501884290439   -1.8586381537688312359790643313
 88    0.9234556183807425266962809474   -0.7674831153538219652432417206   -1.8346580296917696095704286563
 89    0.9110159112202298459237681527   -0.8248202330644445190444002947   -1.8088863931820129415939391038
 90    0.8976866124825996218206114463   -0.8813519278149199998040330684   -1.7813484098079404027714645053
 91    0.8834807380018663280907276203   -0.9370229973646790888608393288   -1.7520709699394729774724055460
 92    0.8684121595733835796693256270   -0.9917790798590524481426200509   -1.7210826625029200798167039466
 93    0.8524955914082686936339428030   -1.0455667069127090318403361380   -1.6884137470532909475195992854
 94    0.8357465757652259297216801315   -1.0983333558205932156681683409   -1.6540961242325595836888396661
 95    0.8181814677737961893910778599   -1.1500275008455551617458922919   -1.6181633046175838419600268026
 96    0.7998174194638476564023221727   -1.2005986635322012379134548610   -1.5806503759970673694823517508
 97    0.7806723630169125627276116575   -1.2499974619983913459719815364   -1.5415939691077913398231657993
 98    0.7607649932557144500933077325   -1.2981756591557618296661757995   -1.5010322218683793682458826879
 99    0.7401147493889917994280835956   -1.3450862098123783638925488049   -1.4590047421366458824110168280
100    0.7187417960294395502529596342   -1.3906833066115664720996392134   -1.4155525690344947786769580489
101    0.6966670035033087904352555597   -1.4349224247620979699746612823   -1.3707181328726882885149507274
102    0.6739119274708863516210044509   -1.4777603655159123885454164338   -1.3245452137140729664821492406
103    0.6504987878777578336197962017   -1.5191552983507765617332552210   -1.2770788986322563207664870788
104    0.6264504472574085047753555955   -1.5590668018173308162488410744   -1.2283655376767481648414559459
105    0.6017903884063472430554497805   -1.5974559030096264766740432606   -1.1784526986215793087353631563
106    0.5765426914535540792172696456   -1.6342851156219400099445238084   -1.1273891205038304441643504106
107    0.5507320103466433192096474158   -1.6695184765531010384620458353   -1.0752246660427442481733351087
108    0.5243835487777013248944513180   -1.7031215810240800667685334702   -1.0220102729424827003867903841
109    0.4975230355723101460796442552   -1.7350616161736434062135003842   -0.9677979041535275106511448939
110    0.4701766995657838954514318175   -1.7653073930994807039240868107   -0.9126404971350882133762638659
111    0.4423712439911586247198727051   -1.7938293773136995135075721919   -0.8565919121591183404973435245
112    0.4141338204039365367137293106   -1.8205997175827639544820613082   -0.7997068797166290154976309168
113    0.3854920021690538822767280180   -1.8455922731236609202198906132   -0.7420409470787151517967572545
114    0.3564737575359577248512721326   -1.8687826391300434991649126459   -0.6836504240485098415902598390
115    0.3271074223280845405525951719   -1.8901481706030986984501396364   -0.6245923279801939287381173926
116    0.2974216722734099871416901806   -1.9096680044638607576246158715   -0.5649243281040096098521985368
117    0.2674454950030875077793268701   -1.9273230799258680434604684706   -0.5047046892078430602168737096
118    0.2372081617455174540332052402   -1.9430961571075280325260337122   -0.4439922147472830649128638925
119    0.2067391987434900324505093749   -1.9569718338666384216395499607   -0.3828461894239886253998861321
120    0.1760683584223103337329519036   -1.9689365608403273100179831090   -0.3213263212937622070874965630
121    0.1452255903370592293732954658   -1.9789786546757399676721433934   -0.2594926834638568435842387316
122    0.1142410119273618157587080191   -1.9870883094386704303957458251   -0.1974056554321916845395890050
123    0.0831448791082185501011281303   -1.9932576061888689356038639744   -0.1351258641279231287324336108
124    0.0519675567256173351338155442   -1.9974805207127490636054290007   -0.0727141247104682725277413624
125    0.0207394889057771862617141068   -1.9997529294059392945825948118   -0.0102313811843272092078072077
126   -0.0105088306730246831138808616   -2.0000726132999187001360041904    0.0522613531120219923509218063
127   -0.0417468885570120643024871754   -1.9984392602287874840527592823    0.1147030550838833845572750647
